"cnpj","nome_coop","auditorIndependente","data_coleta","mudou_auditor","situacao","uf","endereco_eletronico","segmento_prudencial","numeroAgencias","Ativo_Total","Patrimonio_Liquido","Despesas_Operacionais","Sobras","regiao","municipio","classe","criterio_de_associacao","categ_coop_sing","filiacao","big_four","Receitas_Operacionais","PECLD","data_inicio_atividades","idade_em_2022","total_de_cooperados","cooperados_pf","cooperados_pj"
63917579,"COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO","ERNST & YOUNG AUDITORES INDEPENDENTES S/S","10/2021",0,"Autorizada em Atividade","SP","www.sicoobsp.coop.br","S4",0,741651265397,25776621811,-8163942284,569564818,"Sudeste","RIBEIRAO PRETO","Central",NA,NA,NA,1,8743305186,-1885565,1990-07-12,32,NA,NA,NA
3502131,"COOPERATIVA CENTRAL DE CRÉDITO DO NORTE DO BRASIL - SICOOB NORTE","AUDICONSULT AUDITORES SS","10/2021",0,"Autorizada em Atividade","RO","www.sicoobnorte.com.br","S4",0,218084722971,8411973634,-2460080739,244953873,"Norte","PORTO VELHO","Central",NA,NA,NA,0,2571652980,NA,1999-11-09,23,NA,NA,NA
7202627,"COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CRESOL CENTRAL SC/RS","MOORE PRISMA AUDITORES INDEPENDENTES","10/2021",1,"Autorizada em Atividade","SC","www.cresolcentral.com.br","S4",0,306733648052,5426006924,-3494675977,149560959,"Sul","CHAPECO","Central",NA,NA,"CRESOL CONFEDERAÇÃO",0,3707980895,-169430,2005-02-01,17,NA,NA,NA
543968,"COOPERATIVA CENTRAL DE CRÉDITO UNICRED CONEXÃO LTDA - UNICRED CENTRAL CONEXÃO","ERNST & YOUNG AUDITORES INDEPENDENTES S/S","10/2021",0,"Autorizada em Atividade","SC","https://www.unicred.com.br/centralscpr/","S4",0,335482943223,12953380866,-6045936543,65196650,"Sul","FLORIANOPOLIS","Central",NA,NA,"CONF NAC COOP CENTRAIS UNICRED",1,6220156755,NA,1995-04-12,27,NA,NA,NA
33737818,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DE MATO GROSSO DO SUL, GOIÁS, DISTRITO FEDERAL E TOCANTINS  CENTRAL SICREDI BRASIL CENTRAL","ERNST & YOUNG AUDITORES INDEPENDENTES S/S","10/2021",0,"Autorizada em Atividade","GO",NA,"S4",0,203279868420,6579261539,-7067132915,NA,"Centro-Oeste","GOIANIA","Central",NA,NA,NA,1,7152108436,NA,1990-04-06,32,NA,NA,NA
33667205,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO NORTE DO BRASIL - CENTRAL SICREDI CENTRO NORTE","ERNST & YOUNG AUDITORES INDEPENDENTES S/S","10/2021",0,"Autorizada em Atividade","MT","www.sicredi.com.br","S4",0,319103239513,15335019268,-13036113289,82508056,"Centro-Oeste","CUIABA","Central",NA,NA,NA,1,13190181950,NA,1989-10-19,33,NA,NA,NA
70119680,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORTE/NORDESTE - CENTRAL SICREDI NORTE/NORDESTE","ERNST & YOUNG AUDITORES INDEPENDENTES S/S","10/2021",0,"Autorizada em Atividade","PB","www.sicredinne.com.br","S4",0,378005964617,17210643898,-7008387271,293900796,"Nordeste","CABEDELO","Central",NA,NA,NA,1,7183420501,-103726583,1994-07-01,28,NA,NA,NA
87437687,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE","ERNST & YOUNG AUDITORES INDEPENDENTES S/S","10/2021",0,"Autorizada em Atividade","RS",NA,"S3",0,813934961091,41656257150,-31178097850,NA,"Sul","PORTO ALEGRE","Central",NA,NA,NA,1,31182190956,NA,1981-05-12,41,NA,NA,NA
80230774,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ","ERNST & YOUNG AUDITORES INDEPENDENTES S/S","10/2021",0,"Autorizada em Atividade","PR",NA,"S3",0,1384698172464,32037113330,-34508562131,NA,"Sul","CURITIBA","Central",NA,NA,NA,1,34567957892,NA,1987-08-11,35,NA,NA,NA
86774775,"COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO DAS UNICREDS DO ESTADO DO RIO DE JANEIRO E DO MATO GROSSO LTDA   UNICRED CENTRAL RJ/MT","ERNST & YOUNG AUDITORES INDEPENDENTES S/S","10/2021",0,"Autorizada em Atividade","RJ","www.unicred.com.br/centralrjmt","S4",0,76821673809,3285045812,-1448998256,NA,"Sudeste","RIO DE JANEIRO","Central",NA,NA,"CONF NAC COOP CENTRAIS UNICRED",1,1489662638,NA,1994-02-23,28,NA,NA,NA
51010858,"COOPERATIVA DE CAPITAL E EMPRÉSTIMO COOPERMULTICRED - COOPERMC","PADRAO AUDITORIA S/S","10/2021",0,"Autorizada em Atividade","SP","www.coopermc.com.br","S5",0,12924253933,3971794831,-114722959,83279196,"Sudeste","GUARULHOS","Singular","Empregados ou Servidores","Capital e Empréstimo",NA,0,233549699,-60765211,1982-08-25,40,2338,2338,0
3128973,"COOPERATIVA DE CREDITO , POUPANÇA E INVESTIMENTO DO ESTADO DO PIAUÍ - SICREDI PIAUÍ","ERNST & YOUNG AUDITORES INDEPENDENTES S/S","10/2021",0,"Autorizada em Atividade","PI","www.sicredi.com.br/piaui/","S5",4,20303012437,1004017326,-466768917,8088112,"Nordeste","TERESINA","Singular","Atividade Profissional","Clássica","CENTRAL SICREDI NORTE/NORDESTE",1,498777569,-132625749,1999-04-27,23,3017,2303,714
971300,"COOPERATIVA DE CREDITO COM INTERACAO SOLIDARIA PIONEIRA - CRESOL PIONEIRA","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES","10/2021",0,"Autorizada em Atividade","PR","www.cresol.com.br","S5",19,179748988231,9435449976,-3647481845,867099336,"Sul","DOIS VIZINHOS","Singular","Livre Admissão","Clássica","CCC INT SOL CENTRAL CRESOL BASER",1,4241536662,-1774236038,1995-12-05,27,19608,16714,2894
966246,"COOPERATIVA DE CREDITO CREDICERIPA - SICOOB CREDICERIPA","MOORE PRISMA AUDITORES INDEPENDENTES","10/2021",0,"Autorizada em Atividade","SP","www.crediceripa.com.br","S4",29,310297655488,7598490639,-3651769809,410394790,"Sudeste","ITAI","Singular","Livre Admissão","Plena","CCC DO ESTADO DE SÃO PAULO",0,4428138846,-1335619018,1995-11-13,27,27515,18553,8962
54037916,"COOPERATIVA DE CREDITO CREDICITRUS","ERNST & YOUNG AUDITORES INDEPENDENTES S/S","10/2021",0,"Autorizada em Atividade","SP","www.credicitrus.com.br","S4",118,4445450799632,171822871461,-33502797439,10557816711,"Sudeste","BEBEDOURO","Singular","Livre Admissão","Plena","CCC DO ESTADO DE SÃO PAULO",1,41919818540,-28956184003,1984-12-17,38,160704,133939,26765
1604998,"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO SUL DE MINAS LTDA - SICOOB CREDIVASS","BAUER AUDITORES ASSOCIADOS","10/2021",0,"Autorizada em Atividade","MG","www.sicoobcredivass.com.br","S5",70,276403029311,8751204612,-4156061450,987392710,"Sudeste","SAO GONCALO DO SAPUCAI","Singular","Livre Admissão","Clássica","CCC MINAS GERAIS - CREDIMINAS",0,5465049138,-1539077522,1996-12-23,26,43983,32922,11061
968602,"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO VALE DO SÃO PATRICIO LTDA.","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES","10/2021",0,"Autorizada em Atividade","GO",NA,"S5",2,119320245222,11071576077,-1690755508,264117047,"Centro-Oeste","GOIANESIA","Singular","Livre Admissão","Clássica","CENTRAL SICOOB UNI DE CC",1,1877114492,-1356268084,1984-09-12,38,2166,1470,696
53776852,"COOPERATIVA DE CREDITO DOS FORNECEDORES DE CANA E DEMAIS PRODUTORES RURAIS DO CENTRO DO ESTADO DE SAO PAULO - CREDICENTRO","SACHO - AUDITORES INDEPENDENTES","10/2021",0,"Autorizada em Atividade","SP","www.credicentrosp.com.br","S5",0,6632907459,1451864471,-184644725,-82425719,"Sudeste","ARARAQUARA","Singular","Produtor Rural","Clássica",NA,0,173667078,-330381761,1984-09-10,38,521,470,51
71432926,"COOPERATIVA DE CREDITO DOS PROFISSIONAIS DE SAUDE DO TRIANGULO MINEIRO E SUL DE MINAS LTDA.-UNICRED PROGRESSO","SACHO - AUDITORES INDEPENDENTES","10/2021",0,"Autorizada em Atividade","MG","www.unicredmg.com.br","S5",6,56699855746,2067834665,-640863273,85606191,"Sudeste","UBERABA","Singular","Atividade Profissional","Clássica","CC UNICRED CENTRAL MULTIRREGIONAL LTDA. - UCM",0,717251336,-88462525,1993-12-22,29,3506,2893,613
27302181,"COOPERATIVA DE CREDITO DOS SERVIDORES DA UNIVERSIDADE FEDERAL DO ESPIRITO SANTO","HUGO FRANCISCO SACHO","10/2021",0,"Autorizada em Atividade","ES","www.credufes.coop.br","S5",2,2756179030,900153796,-156657095,-235112454,"Sudeste","VITORIA","Singular","Empregados ou Servidores","Clássica",NA,0,161943785,-52268336,1982-01-08,40,1144,1144,0
4281182,"COOPERATIVA DE CREDITO E ECONOMIA COM INTERACAO SOLIDARIA DE CHAPECO - CRESOL CHAPECO","MOORE PRISMA AUDITORES INDEPENDENTES","10/2021",1,"Autorizada em Atividade","SC","www.cresolcentral.com.br","S5",5,16232722892,1175344211,-508956482,-2461952,"Sul","CHAPECO","Singular","Livre Admissão","Clássica","CCCR CRESOL CENTRAL BRASIL",0,615494026,-304576206,2001-01-25,21,6820,5878,942
73254757,"COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDARIA DE QUILOMBO - CRESOL QUILOMBO","MOORE PRISMA AUDITORES INDEPENDENTES","10/2021",1,"Autorizada em Atividade","SC","www.cresolcentral.com.br","S5",5,11517491910,786488911,-258882473,-8253018,"Sul","QUILOMBO","Singular","Livre Admissão","Clássica","CCCR CRESOL CENTRAL BRASIL",0,298745352,-91512318,1993-08-24,29,5903,5544,359
63229629,"COOPERATIVA DE CREDITO RURAL ASCOOB SISAL","IDERALDO LUIZ AGOSTINHO DE MORAES","10/2021",0,"Autorizada em Atividade","BA","www.ascoobserrinha.com.br","S5",12,12783254142,423910942,-639213325,-708226808,"Nordeste","SERRINHA","Singular","Produtor Rural","Clássica","CC ASCOOB CENTRAL",0,723273440,-200182807,1992-02-18,30,39471,37429,2042
5220232,"COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA CONEXÕES -CRESOL CONEXÕES","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES","10/2021",0,"Autorizada em Atividade","RS","http://cresolsicoper.com.br/","S5",3,10018143550,495630413,-390520567,-19924259,"Sul","SANTA MARIA","Singular","Livre Admissão","Clássica","CCCR CRESOL SICOPER",1,413184086,-75003965,2002-07-25,20,3689,3040,649
5220243,"COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE SARANDI-CRESOL SARANDI","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES","10/2021",0,"Autorizada em Atividade","RS","www.cresolsicoper.com.br","S5",5,17196154537,831469576,-673280374,23265305,"Sul","SARANDI","Singular","Livre Admissão","Clássica","CCCR CRESOL SICOPER",1,585549250,-359995223,2002-08-02,20,6711,5846,865
32422628,"COOPERATIVA DE CREDITO RURAL DE GUACUI - CREDIGUAÇUÍ","LINEAR AUDITORES INDEPENDENTES SOCIEDADE SIMPLES","10/2021",0,"Autorizada em Atividade","ES",NA,"S5",0,3430760509,797687947,-129390668,4608393,"Sudeste","GUACUI","Singular","Produtor Rural","Clássica",NA,0,144536080,-78987543,1989-08-09,33,714,600,114
8240446,"COOPERATIVA DE CREDITO RURAL DE IBIAM - SULCREDI/IBIAM","LINEAR AUDITORES INDEPENDENTES SOCIEDADE SIMPLES","10/2021",0,"Autorizada em Atividade","SC","https://www.sulcredi.com.br/ibiam/","S5",4,3330656125,345573698,-129747354,14680212,"Sul","IBIAM","Singular","Produtor Rural","Clássica",NA,0,141654789,-10700663,2006-08-23,16,2502,2383,119
26563270,"COOPERATIVA DE CREDITO RURAL DE PRIMAVERA DO LESTE","FABIO EDUARDO DE ALMEIDA BAUER","10/2021",0,"Autorizada em Atividade","MT","www.primacredi.com.br","S5",2,175365845535,9588030651,-2279693096,821249287,"Centro-Oeste","PRIMAVERA DO LESTE","Singular","Produtor Rural","Clássica",NA,0,2803619095,-2601761737,1991-02-18,31,4596,3661,935
3485130,"COOPERATIVA DE CREDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDARIA DAS ENCOSTAS DA SERRA GERAL  CRESOL ENCOSTAS DA SERRA GERAL","MOORE PRISMA AUDITORES INDEPENDENTES","10/2021",1,"Autorizada em Atividade","SC","www.cresolcentral.com.br","S5",9,22009903554,1144388235,-633568458,10495307,"Sul","SANTA ROSA DE LIMA","Singular","Livre Admissão","Clássica","CCCR CRESOL CENTRAL BRASIL",0,787096650,-130522204,1999-10-29,23,16109,15007,1102
7958405,"COOPERATIVA DE CREDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDARIA DE RIO FORTUNA - CRESOL RIO FORTUNA","MOORE PRISMA AUDITORES INDEPENDENTES","10/2021",1,"Autorizada em Atividade","SC","www.cresolcentral.com.br","S5",4,11357912768,687078965,-305294843,13565537,"Sul","RIO FORTUNA","Singular","Livre Admissão","Clássica","CCCR CRESOL CENTRAL BRASIL",0,338331145,-59347118,2006-04-05,16,5269,4891,378
9488496,"COOPERATIVA DE CREDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDARIA DE SÃO JOÃO DO SUL - CRESOL SÃO JOÃO DO SUL","MOORE PRISMA AUDITORES INDEPENDENTES","10/2021",1,"Autorizada em Atividade","SC",NA,"S5",2,7460019427,422486567,-202408722,25098925,"Sul","SAO JOAO DO SUL","Singular","Livre Admissão","Clássica","CCCR CRESOL CENTRAL BRASIL",0,228547307,-61133799,2008-04-01,14,4010,3728,282
9330158,"COOPERATIVA DE CREDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDARIA DE TREZE DE MAIO - CRESOL TREZE DE MAIO","MOORE PRISMA AUDITORES INDEPENDENTES","10/2021",1,"Autorizada em Atividade","SC",NA,"S5",2,7481021598,359538521,-218974074,-8571219,"Sul","TREZE DE MAIO","Singular","Livre Admissão","Clássica","CCCR CRESOL CENTRAL BRASIL",0,262648697,-113944845,2008-01-11,14,3639,3367,272
5428587,"COOPERATIVA DE CREDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DE OLIVEIRA DOS BREJINHOS - CRESOL OLIVEIRA DOS BREJINHOS","MOORE PRISMA AUDITORES INDEPENDENTES","10/2021",1,"Autorizada em Atividade","BA","www.cresolcentral.coop.br","S5",0,501517302,63596879,-29664027,-6226128,"Nordeste","OLIVEIRA DOS BREJINHOS","Singular","Livre Admissão","Clássica","CCCR CRESOL CENTRAL BRASIL",0,29345156,-3741338,2002-12-11,20,2296,2241,55
82639451,"COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI","ERNST & YOUNG AUDITORES INDEPENDENTES S/S","10/2021",0,"Autorizada em Atividade","SC","www.viacredi.coop.br","S4",109,1627257457560,167627535863,-42527929368,14858323408,"Sul","BLUMENAU","Singular","Livre Admissão","Clássica","COOPCENTRAL AILOS",1,53567939894,-25926123714,1966-08-18,56,794684,722448,72236
70038237,"COOPERATIVA DE CRÉDITO - SICREDI RIO GRANDE DO NORTE","ERNST & YOUNG AUDITORES INDEPENDENTES S/S","10/2021",0,"Autorizada em Atividade","RN","www.sicredi.com.br/natal/","S5",7,170802954672,9738717211,-3123637911,846320160,"Nordeste","NATAL","Singular","Livre Admissão","Clássica","CENTRAL SICREDI NORTE/NORDESTE",1,4129812534,-1241650782,1993-11-19,29,12309,7308,5001
42873828,"COOPERATIVA DE CRÉDITO AGROCREDI LTDA. - SICOOB AGROCREDI","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES","10/2021",0,"Autorizada em Atividade","MG","www.agrocredi.com.br","S4",104,377906368015,25653762089,-5927953374,1861917864,"Sudeste","GUAXUPE","Singular","Livre Admissão","Clássica","CCC MINAS GERAIS - CREDIMINAS",1,8638297875,-2515124639,1992-08-06,30,64621,52652,11969
21110927,"COOPERATIVA DE CRÉDITO CLÁSSICA DOS FUNCIONÁRIOS E PRESTADORES DE SERVIÇOS DAS EMPRESAS LIGADAS AO GRUPO EUCATUR LTDA. - SICOOB EUCRED","MOORE PRISMA AUDITORES INDEPENDENTES","10/2021",0,"Autorizada em Atividade","RO","https://www.sicoob.com.br/web/sicoobeucred","S5",4,10636888992,453367772,-308005085,-8023851,"Norte","JI-PARANA","Singular","Empregados ou Servidores","Clássica","CCC DO NORTE DO BRASIL",0,277884943,-69136224,2014-09-24,8,5170,4874,296
44401800,"COOPERATIVA DE CRÉDITO COGEM","PADRAO AUDITORIA S/S","10/2021",0,"Autorizada em Atividade","SP","www.cogem.com.br","S5",8,21685501863,7046873098,-938989789,92576851,"Sudeste","SAO BERNARDO DO CAMPO","Singular","Empregados ou Servidores","Clássica",NA,0,1108915798,-256973367,1974-09-16,48,11428,11428,0
11969853,"COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA DA COSTA OESTE - CRESOL COSTA OESTE","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES","10/2021",0,"Autorizada em Atividade","PR",NA,"S5",8,40640890390,1804454625,-945733458,72300515,"Sul","MEDIANEIRA","Singular","Livre Admissão","Clássica","CCC INT SOL CENTRAL CRESOL BASER",1,994752528,-254030373,2010-05-12,12,6913,5961,952
4490531,"COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA DE GOIÁS - CRESOL GOIÁS","ANEND AUDITORES INDEPENDENTES","10/2021",0,"Autorizada em Atividade","GO",NA,"S5",6,34569786123,2121733928,-760049505,114149109,"Centro-Oeste","ORIZONA","Singular","Livre Admissão","Clássica","CCC INT SOL CENTRAL CRESOL BASER",0,959831836,-161202495,2001-06-07,21,4152,3576,576
8624548,"COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA DE MINAS GERAIS - CRESOL MINAS GERAIS","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES","10/2021",0,"Autorizada em Atividade","MG","www.cresol.com.br","S5",20,71278571282,3993010593,-1935992128,200916178,"Sudeste","MURIAE","Singular","Livre Admissão","Clássica","CCC INT SOL CENTRAL CRESOL BASER",1,2127758328,-700975257,2007-01-12,15,18817,16492,2325
10520232,"COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA DE RONDÔNIA - CRESOL RONDÔNIA","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES","10/2021",0,"Autorizada em Atividade","RO",NA,"S5",14,46738224256,2781354872,-1255531120,288389567,"Norte","JI-PARANA","Singular","Livre Admissão","Clássica","CCC INT SOL CENTRAL CRESOL BASER",1,1485315830,-428310876,2008-12-08,14,8926,7775,1151
6139650,"COOPERATIVA DE CRéDITO COM INTERAçãO SOLIDáRIA DO RIO GRANDE DO SUL - CRESOL RIO GRANDE DO SUL","ANEND AUDITORES INDEPENDENTES","10/2021",0,"Autorizada em Atividade","RS",NA,"S5",19,60202653320,2262981934,-1923255963,-367892711,"Sul","BENTO GONCALVES","Singular","Livre Admissão","Clássica","CCC INT SOL CENTRAL CRESOL BASER",0,1945330098,-581630719,2004-02-27,18,15770,13769,2001
6126780,"COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA DO VALE DAS ARAUCÁRIAS- CRESOL VALE DAS ARAUCÁRIAS","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES","10/2021",0,"Autorizada em Atividade","PR","www.cresol.com.br","S5",11,53306643617,2621982506,-1454391415,-450723235,"Sul","GUARAPUAVA","Singular","Livre Admissão","Clássica","CCC INT SOL CENTRAL CRESOL BASER",1,1613084342,-481283817,2004-02-04,18,9302,7842,1460
7512780,"COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA DO VALE EUROPEU - CRESOL VALE EUROPEU","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES","10/2021",0,"Autorizada em Atividade","SC",NA,"S5",37,140983554626,8372451687,-3218436633,330761193,"Sul","AGUAS MORNAS","Singular","Livre Admissão","Clássica","CCC INT SOL CENTRAL CRESOL BASER",1,3931590642,-1105552340,2005-07-21,17,27919,23941,3978
5277312,"COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA HORIZONTE - CRESOL HORIZONTE","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES","10/2021",0,"Autorizada em Atividade","PR","www.cresol.com.br","S5",14,65230401655,3798602543,-1745987001,-1875839,"Sul","UNIAO DA VITORIA","Singular","Livre Admissão","Clássica","CCC INT SOL CENTRAL CRESOL BASER",1,1954942746,-623863521,2002-09-02,20,17136,14578,2558
7268499,"COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA INTEGRAÇÃO - CRESOL INTEGRAÇÃO","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES","10/2021",0,"Autorizada em Atividade","PR",NA,"S5",18,104641965799,4990782678,-2170159036,309368570,"Sul","TOLEDO","Singular","Livre Admissão","Clássica","CCC INT SOL CENTRAL CRESOL BASER",1,2472309390,-898703412,2005-03-10,17,12052,10393,1659
